Tx Power,Data rate,Payload size,Average AOI
10,0,5,9.5
15,0,5,9.066666666666666
20,0,5,8.133333333333333
27,0,5,9.366666666666667
10,1,5,9.8
15,1,5,8.8
20,1,5,8.133333333333333
27,1,5,8.666666666666666
10,2,5,9.733333333333333
15,2,5,9.433333333333334
20,2,5,9.766666666666667
27,2,5,8.133333333333333
10,3,5,8.0
15,3,5,9.233333333333333
20,3,5,9.366666666666667
27,3,5,9.033333333333333
10,4,5,8.866666666666667
15,4,5,7.966666666666667
20,4,5,8.7
27,4,5,9.433333333333334
10,5,5,9.133333333333333
15,5,5,9.333333333333334
20,5,5,9.5
27,5,5,9.033333333333333
